county_code,county,lat,long,geometry
093,Knox,35.9874629,-83.9419784,"list(list(c(-84.272869, -84.195151, -84.058585, -84.094011, -83.941711, -83.905169, -83.732704, -83.699405, -83.66746, -83.70925, -83.673297, -83.650957, -83.794275, -83.850155, -83.994677, -84.016481, -84.145659, -84.144301, -84.166267, -84.179798, -84.263383, -84.271587, -84.272869, 35.940506, 35.993008, 36.036304, 36.068911, 36.186378, 36.160906, 36.164583, 36.109469, 36.080587, 36.093234, 36.038486, 35.986368, 35.887125, 35.842019, 35.883749, 35.839498, 35.849586, 35.795763, 35.805106, 35.820232, 
35.89694, 35.910165, 35.940506)))"
095,Lake,36.3270676,-89.4931176,"list(list(c(-89.678046, -89.602374, -89.554289, -89.611819, -89.600544, -89.5450313339691, -89.522695, -89.51038, -89.542337, -89.521021, -89.539232, -89.417293, -89.3451943195388, -89.36012, -89.444587, -89.482971, -89.488283, -89.6276414416754, -89.69263, -89.678046, 36.248284, 36.238106, 36.277751, 36.309088, 36.342985, 36.344271398663, 36.344789, 36.378356, 36.420103, 36.461934, 36.497934, 36.499033, 36.5013432086369, 36.409277, 36.235538, 36.212659, 36.187544, 36.185460316606, 36.224959, 36.248284
)))"
097,Lauderdale,35.7838834,-89.6628111,"list(list(c(-89.915491, -89.863874, -89.797053, -89.723426, -89.729517, -89.722634, -89.64727, -89.6489049703452, -89.631345, -89.398186, -89.342829, -89.339567, -89.356033, -89.401805, -89.502118, -89.623458, -89.7952, -89.909797, -89.944754, -89.9325, -89.876548, -89.898916, -89.956589, -89.915491, 35.754917, 35.747592, 35.782648, 35.809382, 35.847632, 35.873718, 35.89492, 35.9035834823126, 35.924133, 35.941369, 35.880934, 35.862268, 35.817635, 35.822657, 35.580621, 35.652316, 35.63529, 35.537914, 
35.560308, 35.607865, 35.626653, 35.650904, 35.695486, 35.754917)))"
099,Lawrence,35.2761735,-87.460397,"list(list(c(-87.57275, -87.575352, -87.44882, -87.448485, -87.294534, -87.227932, -87.206578, -87.232442, -87.2240536418757, -87.6060978676533, -87.57275, 35.049051, 35.398454, 35.420622, 35.457844, 35.444676, 35.429332, 35.433207, 35.28767, 34.9992307419721, 35.0035195262043, 35.049051)))"
101,Lewis,35.4962054,-87.5000082,"list(list(c(-87.651007, -87.658189, -87.586676, -87.459587, -87.339232, -87.352305, -87.29719, -87.269432, -87.294534, -87.448485, -87.44882, -87.575352, -87.645896, -87.717559, -87.651007, 35.568762, 35.609349, 35.653117, 35.615124, 35.65911, 35.584621, 35.548422, 35.505851, 35.444676, 35.457844, 35.420622, 35.398454, 35.472745, 35.483347, 35.568762)))"
103,Lincoln,35.1239397,-86.6207943,"list(list(c(-86.828301, -86.746899, -86.602613, -86.599478, -86.525306, -86.52728, -86.392192, -86.363363, -86.318168, -86.3187607654651, -86.467798, -86.783628017169, -86.783648, -86.8362863159495, -86.828301, 35.263677, 35.252878, 35.327013, 35.36495, 35.354718, 35.311536, 35.235381, 35.12303, 35.126986, 34.9910785804428, 34.990692, 34.991924921992, 34.991925, 34.992803004217, 35.263677)))"
105,Loudon,35.7374411,-84.3121264,"list(list(c(-84.584472, -84.347624, -84.32997, -84.263383, -84.179798, -84.166267, -84.172812, -84.134468, -84.188319, -84.290765, -84.504274, -84.52585, -84.566934, -84.584472, 35.644424, 35.832367, 35.892904, 35.89694, 35.820232, 35.805106, 35.712756, 35.647399, 35.610549, 35.654925, 35.665866, 35.624186, 35.629773, 35.644424)))"
111,Macon,36.4983882,-85.971322,"list(list(c(-86.216525, -86.205565269856, -86.081944, -85.975713174144, -85.873857, -85.7885565436139, -85.797033, -85.813885, -85.828026, -85.895732, -85.978893, -86.168261, -86.228434, -86.216525, 36.506975, 36.6392468703288, 36.633848, 36.6286377186817, 36.623642, 36.6217118590347, 36.610272, 36.499473, 36.411836, 36.420446, 36.426073, 36.444293, 36.487472, 36.506975)))"
113,Madison,35.6479574,-88.864698,"list(list(c(-89.069544, -89.021364, -88.916181, -88.706811, -88.606862, -88.603575, -88.613611, -88.675867, -88.841607, -89.078876, -89.069544, 35.692679, 35.670953, 35.797307, 35.791075, 35.789354, 35.626084, 35.588089, 35.489163, 35.427826, 35.431428, 35.692679)))"
115,Marion,35.0928512,-85.643487,"list(list(c(-85.873025, -85.740113, -85.709418, -85.558551, -85.403187, -85.387089, -85.365031, -85.4743388431343, -85.605165, -85.8639461118069, -85.863317, -85.873025, 35.223362, 35.215295, 35.289251, 35.319292, 35.223419, 35.147169, 35.072554, 34.9836733267911, 34.984678, 34.9870308587481, 35.208624, 35.223362)))"
117,Marshall,35.4792517,-86.7818523,"list(list(c(-86.960804, -86.849573, -86.782016, -86.751651, -86.686193, -86.639436, -86.664164, -86.618572, -86.599478, -86.602613, -86.746899, -86.828301, -86.906451, -86.960804, 35.417021, 35.525515, 35.706595, 35.696447, 35.710051, 35.6859, 35.491771, 35.367401, 35.36495, 35.327013, 35.252878, 35.263677, 35.314075, 35.417021)))"
119,Maury,35.6195242,-87.1422895,"list(list(c(-87.339232, -87.25561, -87.215099, -87.035681, -87.003959, -86.962471, -86.935719, -86.782016, -86.849573, -86.960804, -87.129112, -87.206578, -87.227932, -87.294534, -87.269432, -87.29719, -87.352305, -87.339232, 35.65911, 35.700516, 35.850651, 35.796213, 35.779028, 35.782883, 35.760659, 35.706595, 35.525515, 35.417021, 35.456019, 35.433207, 35.429332, 35.444676, 35.505851, 35.548422, 35.584621, 35.65911)))"
107,McMinn,35.4037048,-84.6479124,"list(list(c(-84.801147, -84.619865, -84.584472, -84.566934, -84.52585, -84.409226, -84.401025, -84.495529, -84.667398, -84.703607, -84.697838, -84.744441, -84.72314, -84.860164, -84.801147, 35.455181, 35.644651, 35.644424, 35.629773, 35.624186, 35.398378, 35.330374, 35.285472, 35.268041, 35.241043, 35.253173, 35.264223, 35.285471, 35.350074, 35.455181)))"
109,McNairy,35.1183208,-88.556531,"list(list(c(-88.781768, -88.719761, -88.640934, -88.571763, -88.362572, -88.374926, -88.3804925115221, -88.469877, -88.786612, -88.781768, 35.247587, 35.24755, 35.361017, 35.382084, 35.380994, 35.304031, 34.9957924082221, 34.996033, 34.995252, 35.247587)))"
121,Meigs,35.519359,-84.7942091,"list(list(c(-85.016343, -84.968953, -84.912148, -84.859949, -84.873969, -84.794904, -84.781804, -84.72324, -84.723853, -84.619031, -84.619865, -84.801147, -84.860164, -84.879507, -84.946339, -85.031314, -85.016343, 35.409288, 35.466674, 35.442671, 35.497072, 35.550217, 35.55255, 35.673908, 35.68967, 35.752896, 35.70788, 35.644651, 35.455181, 35.350074, 35.353231, 35.287717, 35.379477, 35.409288)))"
