cnty_cd,county,lat,long,geometry,year,population,pct_pop_change,avg_commute_mins,pct_comm_change,traffic_growth_rate
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2016-01-01,128264,1.0318698111126956,24.6,0.40816326530612734,1.5184624720274198
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2015-01-01,126954,0.8796395623256847,24.5,1.2396694214876103,3.8303526221391957
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2014-01-01,125847,0.7791854189022507,24.2,-0.4115226337448652,1.5416909532917042
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2013-01-01,124874,0.685351222344055,24.3,0.4132231404958775,1.1002453094293698
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2012-01-01,124024,0.29111139862854074,24.2,2.5423728813559254,0.9951146961103997
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2011-01-01,123664,0.37743812855624004,23.6,-5.976095617529875,1.0913657949052968
009,Blount,35.6710541,-83.8473015,"list(c(-84.134468, -84.172812, -84.166267, -84.144301, -84.145659, -84.016481, -83.994677, -83.850155, -83.794275, -83.70525, -83.662814, -83.6629119015893, -83.771736, -83.848502, -83.916801, -83.9532313801504, -83.9589178345639, -83.93854, -83.993815, -84.081561, -84.188319, -84.134468, 35.647399, 35.712756, 35.805106, 35.795763, 35.849586, 35.839498, 35.883749, 35.842019, 35.887125, 35.71158, 35.690618, 35.5677997932083, 35.562118, 35.519259, 35.473612, 35.4600208895767, 35.4578994395799, 35.487773, 
35.550001, 35.541231, 35.610549, 35.647399))",2010-01-01,123199,NA,25.1,NA,-0.3834096780196648
011,Bradley,35.1937778,-84.8567932,"list(c(-85.026643, -84.946339, -84.879507, -84.860164, -84.72314, -84.744441, -84.697838, -84.703607, -84.699937, -84.7758376712973, -84.8104774668864, -84.861314, -84.9769738065923, -84.961146, -85.008478, -85.026643, 35.136171, 35.287717, 35.353231, 35.350074, 35.285471, 35.264223, 35.253173, 35.241043, 35.170974, 34.9879372061493, 34.9878779552292, 34.987791, 34.9872198373549, 35.015175, 35.09269, 35.136171))",2018-01-01,107050,1.5452329232316098,21.9,2.8169014084507005,6.591823727514247
011,Bradley,35.1937778,-84.8567932,"list(c(-85.026643, -84.946339, -84.879507, -84.860164, -84.72314, -84.744441, -84.697838, -84.703607, -84.699937, -84.7758376712973, -84.8104774668864, -84.861314, -84.9769738065923, -84.961146, -85.008478, -85.026643, 35.136171, 35.287717, 35.353231, 35.350074, 35.285471, 35.264223, 35.253173, 35.241043, 35.170974, 34.9879372061493, 34.9878779552292, 34.987791, 34.9872198373549, 35.015175, 35.09269, 35.136171))",2017-01-01,105421,0.9876424944918138,21.3,0,0.25474586491482826
011,Bradley,35.1937778,-84.8567932,"list(c(-85.026643, -84.946339, -84.879507, -84.860164, -84.72314, -84.744441, -84.697838, -84.703607, -84.699937, -84.7758376712973, -84.8104774668864, -84.861314, -84.9769738065923, -84.961146, -85.008478, -85.026643, 35.136171, 35.287717, 35.353231, 35.350074, 35.285471, 35.264223, 35.253173, 35.241043, 35.170974, 34.9879372061493, 34.9878779552292, 34.987791, 34.9872198373549, 35.015175, 35.09269, 35.136171))",2016-01-01,104390,0.5935976256094877,21.3,5.970149253731338,1.4689242152824864
