county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change
Franklin,2016,41518,0.4232881019761603,NA,NA
Franklin,2015,41343,0.13321061809725698,NA,NA
Franklin,2014,41288,0.18198141363161557,NA,NA
Franklin,2013,41213,1.290306724341339,NA,NA
Franklin,2012,40688,-0.41363780992240695,NA,NA
Franklin,2011,40857,-0.2490295173221968,NA,NA
Franklin,2010,40959,NA,NA,NA
Gibson,2018,49171,-0.17054106182113893,NA,NA
Gibson,2017,49255,0.010152284263953426,NA,NA
Gibson,2016,49250,-0.16014920229480145,NA,NA
Gibson,2015,49329,-0.2164414596650177,NA,NA
Gibson,2014,49436,0.1134062373430611,NA,NA
Gibson,2013,49380,-0.5758466556598063,NA,NA
Gibson,2012,49666,-0.4649484949296512,NA,NA
Gibson,2011,49898,0.335806639721703,NA,NA
Gibson,2010,49731,NA,NA,NA
Giles,2018,29446,0.22805405221417718,NA,NA
Giles,2017,29379,0.7337562146408461,NA,NA
Giles,2016,29165,0.6626859489869963,NA,NA
Giles,2015,28973,0.5343696866650482,NA,NA
Giles,2014,28819,0.06249782993645869,NA,NA
Giles,2013,28801,-0.5799302702889308,NA,NA
Giles,2012,28969,-1.0756727223056983,NA,NA
Giles,2011,29284,-0.4148813167380805,NA,NA
Giles,2010,29406,NA,NA,NA
Grainger,2018,23137,0.13416428633254984,NA,NA
Grainger,2017,23106,0.047629357003686756,NA,NA
Grainger,2016,23095,1.0810574229691783,NA,NA
Grainger,2015,22848,-0.06123698714023407,NA,NA
Grainger,2014,22862,0.5409208848234259,NA,NA
Grainger,2013,22739,0.22037110494073087,NA,NA
Grainger,2012,22689,-0.2812815892409781,NA,NA
Grainger,2011,22753,0.1408388715285369,NA,NA
Grainger,2010,22721,NA,NA,NA
Greene,2018,69164,0.49839438543468617,22.1,0.9132420091324311
Greene,2017,68821,0.4260969808402182,21.9,-0.9049773755656187
Greene,2016,68529,-0.0831073396903137,22.1,0
Greene,2015,68586,0.17819584014957535,22.1,-1.777777777777767
Greene,2014,68464,0.18730976352141493,22.5,-7.786885245901631
Greene,2013,68336,-0.6166375799883661,24.4,6.0869565217391175
Greene,2012,68760,-0.5970537637517537,23,9.523809523809534
Greene,2011,69173,0.49248917686026683,21,-13.580246913580252
Greene,2010,68834,NA,24.3,NA
Grundy,2018,13348,0.12001200120010935,NA,NA
Grundy,2017,13332,0.42181379933714513,NA,NA
Grundy,2016,13276,-0.4573742220889243,NA,NA
Grundy,2015,13337,-0.02248875562218533,NA,NA
Grundy,2014,13340,-0.8104691798646702,NA,NA
Grundy,2013,13449,-0.9865272767429878,NA,NA
Grundy,2012,13583,-0.03679717397704341,NA,NA
Grundy,2011,13588,-0.99817850637522465,NA,NA
Grundy,2010,13725,NA,NA,NA
Hamblen,2018,64629,0.8850800786737834,NA,NA
Hamblen,2017,64062,0.5982946247703458,NA,NA
Hamblen,2016,63681,0.5177339668208214,NA,NA
Hamblen,2015,63353,0.5443580384066005,NA,NA
Hamblen,2014,63010,-0.06502672439770985,NA,NA
Hamblen,2013,63051,0.45726849786502655,NA,NA
Hamblen,2012,62764,-0.21462980333550874,NA,NA
Hamblen,2011,62899,0.6223004319309,NA,NA
Hamblen,2010,62510,NA,NA,NA
Hamilton,2018,364293,0.9032440337698677,22.3,8.252427184466015
Hamilton,2017,361032,0.9095025406816504,20.6,-8.035714285714269
Hamilton,2016,357778,1.1558144137521653,22.4,3.2258064516129004
Hamilton,2015,353690,0.8442415654251523,21.7,2.843601895734582
Hamilton,2014,350729,0.4810199111875191,21.1,-0.4716981132075415
Hamilton,2013,349050,0.9710928482786763,21.2,-2.752293577981657
Hamilton,2012,345693,1.3483086773733888,21.8,0
Hamilton,2011,341094,1.1506046605419762,21.8,2.3474178403755763
Hamilton,2010,337214,NA,21.3,NA
Hancock,2018,6561,-0.4853632640679506,NA,NA
Hancock,2017,6593,0.15190642564180123,NA,NA
Hancock,2016,6583,0.09122700319295074,NA,NA
Hancock,2015,6577,-0.6345369391146716,NA,NA
Hancock,2014,6619,-0.0302069173840791,NA,NA
Hancock,2013,6621,-0.540784136998651,NA,NA
Hancock,2012,6657,-0.7602862254025067,NA,NA
Hancock,2011,6708,-1.3239187996469504,NA,NA
Hancock,2010,6798,NA,NA,NA
Hardeman,2018,25276,-0.8317639673571908,NA,NA
Hardeman,2017,25488,-0.37523452157598447,NA,NA
Hardeman,2016,25584,-0.9025061006313617,NA,NA
Hardeman,2015,25817,-0.6618184616568601,NA,NA
Hardeman,2014,25989,-1.4074355083459777,NA,NA
Hardeman,2013,26360,-0.9469412295205148,NA,NA
Hardeman,2012,26612,-0.9564926123041384,NA,NA
Hardeman,2011,26869,-1.1041996392947895,NA,NA
Hardeman,2010,27169,NA,NA,NA
Hardin,2018,25693,-0.17483875981039176,NA,NA
Hardin,2017,25738,-0.007770007770002696,NA,NA
Hardin,2016,25740,-0.054360487691229586,NA,NA
Hardin,2015,25754,-0.18216348203557997,NA,NA
Hardin,2014,25801,-0.4783027965284514,NA,NA
Hardin,2013,25925,-0.1425159849010038,NA,NA
Hardin,2012,25962,0.3595036530209983,NA,NA
Hardin,2011,25869,-0.6948176583493337,NA,NA
Hardin,2010,26050,NA,NA,NA
Hawkins,2018,56713,0.16425291416459764,NA,NA
Hawkins,2017,56620,0.09723327145760852,NA,NA
Hawkins,2016,56565,0.34592868547098643,NA,NA
Hawkins,2015,56370,-0.19652626546979857,NA,NA
Hawkins,2014,56481,-0.3792154649358004,NA,NA
Hawkins,2013,56696,0.24045261669023432,NA,NA
Hawkins,2012,56560,-0.10773387965595793,NA,NA
Hawkins,2011,56621,-0.4378406892913689,NA,NA
Hawkins,2010,56870,NA,NA,NA
Haywood,2018,17347,-1.4766854092122417,NA,NA
Haywood,2017,17607,-1.2063741443160136,NA,NA
Haywood,2016,17822,-1.1865158571745416,NA,NA
Haywood,2015,18036,-1.0913079243213608,NA,NA
Haywood,2014,18235,0.005484260173305167,NA,NA
Haywood,2013,18234,-0.22980958634274407,NA,NA
Haywood,2012,18276,-1.4558395341313535,NA,NA
Haywood,2011,18546,-1.413991069530085,NA,NA
Haywood,2010,18812,NA,NA,NA
Henderson,2018,27983,0.47395066604429825,NA,NA
Henderson,2017,27851,-0.014360078980435453,NA,NA
Henderson,2016,27855,-0.7942161122587055,NA,NA
Henderson,2015,28078,-0.05339408393549849,NA,NA
Henderson,2014,28093,0.1818700520647587,NA,NA
Henderson,2013,28042,-0.14243999715120026,NA,NA
Henderson,2012,28082,0.15335782303220746,NA,NA
Henderson,2011,28039,0.9032675975241045,NA,NA
Henderson,2010,27788,NA,NA,NA
Henry,2018,32336,-0.13588634959851298,NA,NA
Henry,2017,32380,0.4591710101762292,NA,NA
Henry,2016,32232,0.3268279017648812,NA,NA
Henry,2015,32127,-0.36594820902465797,NA,NA
Henry,2014,32245,-0.015503875968991832,NA,NA
Henry,2013,32250,-0.39225376038546367,NA,NA
Henry,2012,32377,-0.19420468557336257,NA,NA
Henry,2011,32440,0.12963763195259492,NA,NA
Henry,2010,32398,NA,NA,NA
Hickman,2018,25007,0.6763557309070523,NA,NA
Hickman,2017,24839,0.7013703073055932,NA,NA
Hickman,2016,24666,1.2021499199934338,NA,NA
Hickman,2015,24373,-0.3760474146740189,NA,NA
Hickman,2014,24465,1.0658074110794447,NA,NA
Hickman,2013,24207,0.06200396825397636,NA,NA
Hickman,2012,24192,-0.7059596125430945,NA,NA
Hickman,2011,24364,-1.148212764230938,NA,NA
Hickman,2010,24647,NA,NA,NA
Houston,2018,8234,0.9316008825692501,NA,NA
Houston,2017,8158,0.7036168374274787,NA,NA
Houston,2016,8101,-0.28311176760216217,NA,NA
Houston,2015,8124,-1.1799051210314992,NA,NA
Houston,2014,8221,-0.664572257129048,NA,NA
Houston,2013,8276,-1.7568850902184185,NA,NA
Houston,2012,8424,0.92248712112135145,NA,NA
Houston,2011,8347,-1.2306235948408517,NA,NA
Houston,2010,8451,NA,NA,NA
Humphreys,2018,18551,0.2594173917743081,NA,NA
Humphreys,2017,18503,0.6527770222488183,NA,NA
Humphreys,2016,18383,1.2446990141543157,NA,NA
Humphreys,2015,18157,0.05510552708436478,NA,NA
Humphreys,2014,18147,-0.5316816487612397,NA,NA
Humphreys,2013,18244,-0.23513971673866374,NA,NA
Humphreys,2012,18287,-0.630332011085144,NA,NA
Humphreys,2011,18403,-0.8352193124259055,NA,NA
Humphreys,2010,18558,NA,NA,NA
Jackson,2018,11777,0.6409160827208993,NA,NA
Jackson,2017,11702,0.783739557316343,NA,NA
Jackson,2016,11611,0.6675914687012341,NA,NA
Jackson,2015,11534,0.08677542519959225,NA,NA
Jackson,2014,11524,-0.32004151889974963,NA,NA
Jackson,2013,11561,-0.29322984044847233,NA,NA
Jackson,2012,11595,0.3201245890292359,NA,NA
Jackson,2011,11558,-0.5763440860215074,NA,NA
Jackson,2010,11625,NA,NA,NA
Jefferson,2018,54012,0.5248464544946874,NA,NA
Jefferson,2017,53730,1.0950553172273558,NA,NA
Jefferson,2016,53148,0.2584369281847243,NA,NA
Jefferson,2015,53011,1.1505876965348882,NA,NA
Jefferson,2014,52408,0.5255687267426312,NA,NA
Jefferson,2013,52134,-0.3173996175908189,NA,NA
Jefferson,2012,52300,0.7551822455112989,NA,NA
Jefferson,2011,51908,0.37514019414472966,NA,NA
Jefferson,2010,51714,NA,NA,NA
Johnson,2018,17774,0.9714253252286476,NA,NA
Johnson,2017,17603,-0.8784278394053713,NA,NA
Johnson,2016,17759,-0.4651944849232148,NA,NA
Johnson,2015,17842,-0.5185391692221875,NA,NA
Johnson,2014,17935,-0.43854779615853934,NA,NA
Johnson,2013,18014,-0.7985021201608045,NA,NA
Johnson,2012,18159,-0.35120452175821937,NA,NA
Johnson,2011,18223,-0.3445258667833295,NA,NA
Johnson,2010,18286,NA,NA,NA
Knox,2018,466258,1.0167582030699895,22.3,-0.44642857142855874
Knox,2017,461565,1.2006428569862448,22.4,0
Knox,2016,456089,1.0618284632957886,22.4,1.8181818181818077
Knox,2015,451297,0.7577533528464908,22,3.2863849765258246
Knox,2014,447903,0.807762078169949,21.3,1.9138755980861344
Knox,2013,444314,0.7992449936591317,20.9,-4.5662100456621
Knox,2012,440791,0.9192354891294441,21.9,1.388888888888884
Knox,2011,436776,0.8865010694371955,21.6,1.8867924528301883
Knox,2010,432938,NA,21.2,NA
Lake,2018,7407,-0.5905247617769449,NA,NA
Lake,2017,7451,-1.0622759261718184,NA,NA
Lake,2016,7531,-0.9339647461194422,NA,NA
Lake,2015,7602,-1.0156249999999978,NA,NA
Lake,2014,7680,-0.4278490859587758,NA,NA
Lake,2013,7713,-0.025923525599480524,NA,NA
Lake,2012,7715,-1.0008982420120605,NA,NA
Lake,2011,7793,-0.4343937651718366,NA,NA
Lake,2010,7827,NA,NA,NA
Lauderdale,2018,25997,-0.36791476641244714,NA,NA
Lauderdale,2017,26093,3.0529225908372926,NA,NA
Lauderdale,2016,25320,-5.88410214474222,NA,NA
